course_code,recovered_name,credit_units
BPSI2207,REPRODUCTION,2
BPSI3306,SCIENCE AND TECHNOLOGY EDUCATION ,3
BQS3102,QUANTITY SURVEYING,3
BRE1106,CHRISTIAN ETHICS,3
BRE1204B,BIBLICAL LAW AND HISTORICAL BOOKS,3
BRE1302,CHURCH HISTORY,3
BRE2107,HADITH AND FIQH,3
BREI1103,ANALYSIS AND EVALUATION OF UPPER PRIMARY CHRISTIAN RELIGIOUS EDUCATION CURRICULUM (P 1 - P 4),1
BREI1104,ANALYASIS AND EVALUATION OF LOWER PRIMARY ISLAMIC RELIGIOUS EDUCATION CURRICULUM (P1 - P4),1
BREI1203,ANALYSIS AND EVALUATION OF UPPER PRIMARY CHRISTIAN RELIGIOUS EDUCATION CURRICULUM (P5 - P7),1
BREI1204,ANALYSIS AND EVALUATION OF UPPER PRIMARY ISLAMIC RELIGIOUS EDUCATION CURRICULUM (P5 - P7),1
BREI2107,STRUCTURE OF THE QULAN,2
BRM4104,RESEARCH METHODS,3
BSA2102,STRUCTURAL ANALYSIS I,3
BSA2103,CONSTRUCTION SURVEYING I,3
BSA2202,STRUCTURAL ANALYSIS II,3
BSD1102,STATICS AND DYNAMICS,4
BSE 2201,FORMAL METHODS,4
BSE1104,SOCIETY AND ENGINEERING ,3
BSE2109,MODELLING INFORMATION SYSTEMS,3
BSE2204,REAL TIME AND EMBEDDED SYSTEM ,4
BSE3105,Research Project Report,3
BSED,BACHELOR OF SCIENCE WITH EDUCATION  ,3
BSK1101,KISWAHILI AQUISITION AND MASTERY,3
BSM1202,STRENGTH OF MATERIALS,3
BSS1101,WORLD REGIONS AND MAN'S SETTLEMENT,3
BSS1102,POPULATION, ENVIRONMENT AND DEVELOPMENT,2
BSS1103,ANALYSIS AND EVALUATION OF LOWER PRIMARY S.S.T,1
BSS1106,KEYBOARD SKILLS AND COMPUTER OPERATIONS ,3
BSS1107,BASIC KISWAHILI COMMUNICATION SKILLS,3
BSSI1210,EVOLUTION OF SOCIETIES AND HERITAGES IN UGANDA,3
BSSI2204,ASIA, POPULATION, RESURCES AND DEVELOPMENT,2
BSSI2305,MAP, PHOT AND FIELD,2
BTE4203,TRAFFIC AND TRANSPORTATION ENGINEERING,3
BTHM1206,TOURISM MARKETING AND DESTINATION PROMOTION,3
BTHM2108,GEOGRAPHICAL INFORMATION SYSTEM,4
BTHM2204,GEOGRAPHICAL INFORMATION SYSTEM APPLICATION IN TOURISM (GIS),3
BTI1301,CONCRETE TECHNOLOGY,3
BVA 1103,Introduction to Drawing&amp; Studio  Technology,3
BVA 2202,ART EDUCATION,3
BVA1103,DRAWING & STUDIO TECHNOLOGY I,3
BVA1205,FASHION DESIGN ,3
BVA1209,INTRODUCTION TO SCULPTURE & STUDIO TECHNOLOGY,3
BVA1212,INTRODUCTION TO CERAMICS & STUDIO TECHNOLOGY ,3
BVA2201,PRACTICAL PROJECT (Prototype design),3
BVA2204,GRAPHIC (Typography and Illustration),3
BVA2207,FABRIC DECORATION (Multi-media),3
BVA2209,MONUMENT SCULPTURE,3
BVA2210,WEAVING (RUG),3
BVA2211,MULTI-MEDIA CRAFTS (Environment),3
BVA2212,CERAMICS (Kilns and Glazes),3
BVA3201,PRACTICAL PROJECT (product),3
BVA3202,ADVANCED DRAWING (Signature),3
BVA3204,GRAPHICS (Visual Communication),3
BVA3205,WEAVING (designs for woven structures),3
BVA3206,PRINTMAKING AND THE ENVIRNMENT,3
BVA3208,SCULPTURE (Prototypes),3
BVA3210,PRACTICAL PROJECT (PRODUCT),3
BVA3211,MULTI-MEDIA CRAFTS (Mobile toys),3
BVA3212,CERAMICS (Mass production),3
BVAI1301,HISTORY AND ART APPRECIATION,2
BVAI1303,WATER-COLOUR PAINTING AND STUDIO TECHNOLOGY,2
BVAI1306,SCREEN PRINTING I,2
BVAI1310,CERAMICS (CLAY I),2
BVAI1311,WEAVING (SPINNING AND DYEING YARN),2
BVAI1312,MULTIMEDIA CRAFTS (TECHNIQUES),2
BVAI2101,DRAWING I (ANATOMY),2
BVAI2102,PRACTICAL PROJECT I (PROPOSAL WRITING),3
BVAI2104,COLOUR PAINTING,2
BVAI2105,GRAPHICS I (TYPOGRAPHY AND ILLUSTRATION),2
BVAI2106,SCREEN PRINTING II,2
BVAI2107,FABRIC DECORATION I (MULTI-MEDIA),2
BVAI2109,MATERIALS FOR SCULPTURE II,2
BVAI2110,CERAMICS (CLAY II),2
BVAI2111,WEAVING,2
BVAI2112,MULTIMEDIA CRAFTS (ENVIRONMENT),2
BVAI2201,DRAWING II (ANATOMY),2
BVAI2202,PRACTICAL PROJECT II (PROPOSAL WRITING),3
BVAI2205,GRAPHICS II (TYPOGRAPHY AND ILLUSTRATION),2
BVAI2206,BLOCK PRINTING I,2
BVAI2207,FABRIC DECORATION II (MULTI-MEDIA),2
BVAI2209,MONUMENTAL SCULPTURE,2
BVAI2210,CERAMICS (KILNS AND GLAZES),2
BVAI2211,WEAVING (RUG),2
BVAI2212,MULTIMEDIA,2
BVAI2301,HISTORY AND APPRECIATION OF ART,3
BVAI2302,DRAWING V (SIMPLIFICATION AND DISTORTION),2
BVAI2303,PRACTICAL PROJECT (PROJECT AND REPORT),3
BVAI2304,PAINTING(LARGE FORMAT),2
BVAI2305,ADVERTISING GRAPHICS,2
BVAI2306,BLOCK PRINTMAKING,2
BVAI2307,FABRIC DESIGN I,2
BVAI2309,SCULPTURE (ADVANCED),2
BVAI2310,CERAMICS I (INDUSTRIAL),2
BVAI2311,WEAVING I (INTERLACING),2
BVAI2312,MULTIMEDIA CRAFTS (LEATHER),2
BVAI3101,ADVANCED DRAWING I (SIGNATURE),2
BVAI3102,PRACTICAL PROJECT(FINISHED PRODUCT AND PROPOSAL),3
BVAI3104,ADVANCED OIL PAINTING I,2
BVAI3105,GRAPHICS I (VISUAL COMMUNICATION),2
BVAI3106,BLOCK PRINTING II,2
BVAI3107,FABRIC DESIGN II,2
BVAI3109,ENVIRONMENT AND SCULPTURE,2
BVAI3110,CERAMICS II (INDUSTRIAL),2
BVAI3201,ADVANCED DRAWING II (SIGNATURE),2
BVAI3204,ADVANCED OIL,2
BVAI3205,PAINTING GRAPHICS (VISUAL COMMUNICATION),2
BVAI3206,PRINTMAKING AND THE ENVIRONMENT I,2
BVAI3207,FABRIC DESIGN I (MASS PRODUCTION),2
BVAI3209,SCULPTURE (PROTOTYPES),2
BVAI3210,CERAMICS I (MASS PRODUCTION),2
BVAI3211,WEAVING I (DESIGNS FOR WOVEN STRUCTURES),2
BVAI3212,MULTIMEDIA CRAFTS I (MOBILE TOYS),2
BVAI3301,HISTORY AND APPRECIATION,3
BVAI3302,DRAWING ,3
BVAI3304,ADVANCED OIL PAINTING II,2
BVAI3305,GRAPHICS (Visual Communication),3
BVAI3306,PRINTMAKING AND THE ENVIRONMENT II,2
BVAI3307,FABRIC DESIGN II (MASS PRODUCTION),2
BVAI3310,CERAMICS (Mass Production),3
BVAI3312,MULTIMEDIA CRAFTS II (MOBILE TOYS),2
BWR3205,WATER RESOURCES ENGINEERING I,4
BWR4101,WATER RESOURCE ENGINEERING II,4
BWT1203,WORKSHOP TECHNOLOGY,3
CAE1107,BASIC WORKSHOP TECHNOLOGY AND PRACTICE I,3
CAE1108,BASIC WORKSHOP TECHNOLOGY AND PRACTICE I,3
CAM1201,MATHEMATICS II,3
