regno,acadyear,semester,studyyear,progid,item_code,item,amount,session,regstatus,status
MRU2021000456,2023/2024,1,3,BIT,1,Tuition,780000,DAY,UNREGISTERED,PLANNED
MRU2021000456,2023/2024,1,3,BIT,52,Functional,763000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2021/2022,1,1,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2021/2022,1,1,BBA,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2021/2022,2,1,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2021/2022,2,1,BBA,52,Functional,677000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2022/2023,1,2,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2022/2023,1,2,BBA,52,Functional,687000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2022/2023,2,2,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2022/2023,2,2,BBA,52,Functional,653000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2023/2024,1,3,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2023/2024,1,3,BBA,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2023/2024,2,3,BBA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000464,2023/2024,2,3,BBA,52,Functional,933000,DAY,UNREGISTERED,PLANNED
MRU2021000614,2021/2022,1,1,SWSA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000614,2021/2022,1,1,SWSA,52,Functional,767000,DAY,UNREGISTERED,PLANNED
MRU2021000614,2021/2022,2,1,SWSA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000614,2021/2022,2,1,SWSA,52,Functional,877000,DAY,UNREGISTERED,PLANNED
MRU2021000614,2022/2023,1,2,SWSA,1,Tuition,630000,DAY,REGISTERED,PLANNED
MRU2021000614,2022/2023,1,2,SWSA,52,Functional,687000,DAY,REGISTERED,PLANNED
MRU2021000614,2022/2023,2,2,SWSA,1,Tuition,630000,DAY,REGISTERED,PLANNED
MRU2021000614,2022/2023,2,2,SWSA,52,Functional,853000,DAY,REGISTERED,PLANNED
MRU2021000614,2023/2024,1,3,SWSA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000614,2023/2024,1,3,SWSA,52,Functional,663000,DAY,UNREGISTERED,PLANNED
MRU2021000614,2023/2024,2,3,SWSA,1,Tuition,630000,DAY,UNREGISTERED,PLANNED
MRU2021000614,2023/2024,2,3,SWSA,52,Functional,733000,DAY,UNREGISTERED,PLANNED
