ID	assigned_prog	course	yr	sem	course_name	lect_assigned	progs_with_students	progs_with_marks
8687	BED(S)	BGC3201	3	2	EDUCATIONAL COUNSELLING AND GUIDANCE	NO	BAED|BEICT|BVS	BADE|BAED|BAED/A|BEICT|BGC|BSCED|BSCEDU|BVS
8688	BED(S)	BGE3202	3	2	SETTLEMENT GEOGRAPHY	NO	BAED	BAED|BEICT
8871	BED(S)	BGE3202	3	2	SETTLEMENT GEOGRAPHY	NO	BAED	BAED|BEICT
8689	BED(S)	BGE3203	3	2	TRANSPORT GEOGRAPHY	NO	BAED	BAED|BEICT
8872	BED(S)	BGE3203	3	2	TRANSPORT GEOGRAPHY	NO	BAED	BAED|BEICT
8692	BED(S)	BHI3208	3	2	POST COLONIAL HISTORY OF UGANDA SINCE 1900	NO	BAED|BEICT	BAED|BEICT
4974	BED(S)	BPS3201B	3	2	INDUSTRIAL AND ENVIRONMENTAL CHEMISTRY	YES	BED(P)	BED(P)
4975	BED(S)	BPS3202B	3	2	ANALYSIS AND ASSESSMENT  OF PRIMARY SCIENCE	YES	BED(P)	BED(P)
8694	BED(S)	BSP3202	3	2	SCHOOL PRACTICE (6 Weeks)	NO	BAED|BEICT|BVS	BAED|BBM|BEICT|BVS
8875	BED(S)	BSP3202	3	2	SCHOOL PRACTICE (6 Weeks)	NO	BAED|BEICT|BVS	BAED|BBM|BEICT|BVS
8876	BED(S)	FIN3204B	3	2	COMPUTERIZED ACCOUNTING	NO	BAED|BBA|BCOM|BEICT|BSAF	BAED|BBA|BBC|BBM|BCOM|BEICT|BSAF
2904	BED(S)	BAG3304B	3	3	PROJECT IN AGRICULTURE II	NO	BED(P)	BED(P)
4885	BEICT	BEP1101	1	1	ENTERPRENUERSHIP SKILLS AND DEVELOPMENT	NO	BAED	BAED
1016	BEICT	BRE2114	2	1	OLD TESTAMENT PROPHETIC BOOKS	NO	BAED	BAED
4950	BEICT	ECO2102	2	1	QUANTITATIVE METHODS	NO	BAED	BAED
10896	BEICT	ECO2102	2	1	QUANTITATIVE METHODS	NO	BAED	BAED
4949	BEICT	ECO2103	2	1	MATHEMATICAL ECONOMICS	NO	BAED	BAED
2459	BEICT	FIN2101B	2	1	INTERMEDIATE ACCOUNTING	NO	BAED|BBA|BCOM|BPLM|BSAF|DAF	BAED|BBA|BBM|BCOM|BSAF|DAF
1021	BEICT	BRE2212	2	2	HISTORY OF CHRISTIANITY IN NORTH AND WEST AFRICA	NO	BAED	BAED
4375	BEICT	BIT3103	3	1	INFORMATION SYSTEM AND NETWORK SECURITY 	NO	NULL	BIT
1025	BEICT	BRE3111	3	1	BIBLICAL WISDOM LITERATURE	NO	BAED	BAED
2446	BEICT	FIN3102B	3	1	MANAGERIAL ECONOMICS	NO	BAED|BBA|BCOM|BHRM|BPA|BPLM|BSAF|BSM	BAED|BBA|BBC|BBM|BCOM|BEM|BES|BHRM|BMF|BPA|BPLM|BSAF|BSDE|BSM|DPE
10280	BEICT	BRE3207	3	2	ISLAMIC MOVEMENTS	YES	BAED	BAED
10278	BEICT	BRE3208	3	2	ISLAMIC LAW	YES	BAED	NULL
4404	BES	BES3206	3	2	RESEARCH PROJECT	NO	BVS	NULL
